rijksmonumentnummer,eindlabel,onderzoeksstatus,beleidsdoorlaat,confidence,reden,uitsluiting_fragments,relatieve_waardering_fragments,constatering_fragments,vanwege_fragments
526724,relatieve_waardering,inhoudelijk_relevant,True,0.99,"De tekst bevat expliciete waarderingsformules zoals ""van algemeen belang"" en ""van belang vanwege ... waarde"".",,"is van algemeen belang | van belang vanwege de stedenbouwkundige, sociaalhistorische en architectuurhistorische waarde | van belang als onderdeel van het oeuvre van K.P.C. de Bazel",,"van algemeen belang vanwege de stedenbouwkundige, sociaalhistorische en architectuurhistorische waarde | alsmede vanwege de typologische waarde | vanwege de ensemblewaarde"
9128,constatering,contextueel_relevant,False,0.62,"De tekst bevat alleen een neutrale beschrijving van bouwkundige kenmerken zonder waardering, uitsluiting of 'vanwege'-formulering.",,,"Huis met eenvoudige witgeverfde lijstgevel, lage bovenverdieping en schilddak.",
508392,relatieve_waardering,inhoudelijk_relevant,True,0.95,De tekst bevat een expliciete waarderingsformule ('van algemeen belang') met genoemde waarden.,,"Waardering Reeks winkelwoningen aan het Purmerplein, deel uitmakend van Tuindorp Nieuwendam en als zodanig van algemeen belang wegens architectuur- en bouwhistorische alsook typologische en ensemblewaarde.",,van algemeen belang wegens architectuur- en bouwhistorische alsook typologische en ensemblewaarde.
14667,relatieve_waardering,inhoudelijk_relevant,True,0.74,"De tekst bevat expliciete waarderende kwalificaties (""hoog monumentaal"", ""mooi gesneden"").",,hoog monumentaal dak | mooi gesneden deur,"Gevelsteen ""'t Olde Regthuys"", 1598. | Verder uiterlijk XIX a. | Schuiframen en mooi gesneden deur (ca. 1800).",
515,constatering,contextueel_relevant,False,0.62,"De tekst bevat alleen een neutrale beschrijving met datering, zonder waardering, uitsluiting of 'vanwege'-formulering.",,,Pand met gevel onder rechte lijst (midden XIX).,
40274,constatering,contextueel_relevant,False,0.74,"De tekst bevat alleen neutrale bouwkundige en dateringbeschrijvingen zonder waardering, uitsluiting of 'vanwege'-formulering.",,,"Pand uit de 16e of 17e eeuw | waarvan het schilddak aan de achterzijde tegen een puntgevel aansluit | Gepleisterde voorgevel met lage bovenverdieping en houten kroonlijst, eerste helft 19e eeuw",
11978,constatering,contextueel_relevant,False,0.62,"De tekst bevat alleen neutrale beschrijvingen van bouwkundige kenmerken en datering, zonder waarderende of uitsluitende formuleringen.",,,Pand met gepleisterde lijstgevel. | Geprofileerde vensteromlijstingen (derde kwart negentiende eeuw).,
11775,constatering,contextueel_relevant,False,0.62,"De tekst bevat alleen een neutrale beschrijving van het pand en noemt geen waardering, uitsluiting of 'vanwege'-formulering.",,,Pand met lagere bovenverdieping en eenvoudige lijstgevel (XIXb).,
14748,constatering,contextueel_relevant,False,0.78,"De tekst bevat alleen neutrale bouwkundige beschrijvingen zonder waardering, uitsluiting of 'vanwege'-formulering.",,,Huisje van begane grond (XVIII?) met zadeldak tussen puntgevels. | Vensters met schuiframen en luiken.,
23520,geen,niet_relevant,False,0.78,"De tekst bevat alleen een neutrale beschrijving en datering, zonder uitsluiting, waardering, constatering van latere onderdelen of 'vanwege'-formulering.",,,,
25483,constatering,contextueel_relevant,False,0.62,"De tekst bevat uitsluitend neutrale beschrijvingen van bouwkundige kenmerken en datering, zonder expliciete waarderings- of uitsluitingsformules.",,,Pand met statige brede geheel met zandsteen beklede gevel | afgedekt door rechte houten kroonlijst met consoles. | 1e helft 18e eeuw.,
484495,relatieve_waardering,inhoudelijk_relevant,True,0.93,"De tekst bevat expliciete waarderingsformules zoals ""als geheel van algemeen belang"" en toekenning van (cultuur)historische en architectuurhistorische waarde.",,"in een sobere, maar zeer karakteristieke ambachtelijk-traditionele bouwtrant | De achtergevels zijn deswege van ondergeschikt belang. | als geheel van algemeen belang vanwege zijn cultuuurhistorische en architectuurhistorische waarde",Bij sommige woningen zijn de goten en pannen vernieuwd. | De indeling van de meeste achtergevels is gewijzigd in de vorm van nieuwe puien of vernieuwde aanbouwen; ook zijn in de meeste achterdakvlakken nieuwe dakkapellen aangebracht. | Nr. 5 heeft een gemetselde kajuit uit 1901,als geheel van algemeen belang vanwege zijn cultuuurhistorische en architectuurhistorische waarde | vanwege de ouderdom en gaafheid van de woningen in samenhang met het karakteristieke straatprofiel met oude bomen | en vanwege zijn betekenis voor de sociaal-economische geschiedenis van Groningen en voor de ontwikkeling van de volkshuisvesting in de negentiende eeuw in het bijzonder
516757,geen,niet_relevant,False,0.93,"De tekst bevat uitsluitend literatuurverwijzingen en geen formuleringen over bescherming, waardering, uitsluiting of beschrijvende constateringen.",,,,
11563,constatering,contextueel_relevant,False,0.74,De tekst bevat uitsluitend neutrale bouwkundige beschrijvingen zonder waarderings- of uitsluitingsformules.,,,"Laat-middeleeuws pand met verdieping en hoog zadeldak, aan de achterzijde afgesloten door een trapgevel. | De zuidergevel heeft een bakstenen tandfries en een dakkapel met gemetselde wanden en een kozijn met middenstijl.",
511152,uitsluiting,inhoudelijk_relevant,True,0.98,De tekst bevat expliciete uitsluitingsformuleringen over onderdelen die (niet) onder de bescherming vallen.,"De vanaf 1963 toegevoegde onderdelen vallen buiten de bescherming. | Het bijbehorende koetshuis aan de oostzijde is bewaard gebleven, maar wordt niet afzonderlijk beschermd",Villa Dennenhoek uit 1899 is van algemeen belang wegens architectuur- en cultuurhistorische waarde en typologische waarde | als representatief voorbeeld van een villa in Engelse landhuisstijl met elementen van de chaletstijl | heeft ensemblewaarde als beeldbepalend onderdeel,met een moderne deur aan de oostzijde en een modern raam in de zuidgevel. | waarvan het onderste in l960 door een deur vervangen is | in de westgevel later dichtgezet,"van algemeen belang wegens architectuur- en cultuurhistorische waarde en typologische waarde | vanwege de gaaf bewaard gebleven hoofdvorm, detaillering en het toegepaste materiaal"
21218,relatieve_waardering,inhoudelijk_relevant,True,0.86,"De tekst kent expliciete waardering toe met een superlatieve kwalificatie (""het meest gave voorbeeld"") en benoemt betekenis (hiërarchische opbouw komt tot uiting).",,"vormen door de aanleg, waarin de hierarchische opbouw van het mijnwezen tot uiting komt. | en door de eenheid in architectuur, kleur- en materiaalgebruik tesamen met Ganzeweide 27 en 35 t/m 49 het meest gave voorbeeld van de woningbouw voor (hogere) mijnbeambten.",,
532063,geen,niet_relevant,False,0.78,"De tekst bevat alleen een korte objectaanduiding zonder uitsluiting, waardering, constatering van latere onderdelen of een 'vanwege'-motivering.",,,,
522742,relatieve_waardering,inhoudelijk_relevant,True,0.99,De tekst bevat expliciete waarderingsformules die het monument als (cultuur- en architectuurhistorisch) waardevol en van algemeen belang kwalificeren.,,"is van algemeen belang | wegens cultuur- en architectuurhistorische waarde | als gaaf bewaard gebleven onderdeel van het complex ""Veenshof""",,
527841,relatieve_waardering,inhoudelijk_relevant,True,0.95,"De tekst bevat expliciete waarderingsformules zoals ""van algemeen belang"" en ""van belang vanwege"".",,"van algemeen belang vanwege de architectuurhistorische en typologische waarde. | Het gebouw is van belang voor de ontwikkeling van de etagebouw met toepassing van trapportieken | Eveneens van belang vanwege de zorgvuldige behandeling van de gevels waaronder het opvallende metselverband, de granito stoepen en de betonnen luifels en dorpels.",maar is later door Greiner opgericht (in 1951). | N.B. Het pand Courbetstraat 32-40 verrees in 1940. | Hier werd op de begane grond een P.T.T.-kantoor gevestigd,van algemeen belang vanwege de architectuurhistorische en typologische waarde. | alsmede vanwege de latere fase van het oeuvre van Dick Greiner | Eveneens van belang vanwege de zorgvuldige behandeling van de gevels
8129,constatering,contextueel_relevant,False,0.62,De tekst bevat alleen een neutrale beschrijving en datering zonder waarderende of uitsluitende formuleringen.,,,"Pand met afgeknotte houten lijstgevel, 19e eeuw.",
3961,relatieve_waardering,inhoudelijk_relevant,True,0.86,"De tekst kent expliciet waardering toe aan het object (o.a. ""hoogtepunten"" en ""prachtig metselwerk"").",,"Een der irrationeelste hoogtepunten van de tweede fase der ""Amsterdamse School"" | prachtig metselwerk van helrode baksteen",,
23782,constatering,contextueel_relevant,False,0.62,"De tekst bevat alleen een neutrale beschrijving van bouwkundige kenmerken en datering, zonder waarderende of uitsluitende formuleringen.",,,Pand met gepleisterde en geverfde tuitgevel en schuifvensters aan de begane grond. | XIX.,
41676,constatering,contextueel_relevant,False,0.62,"De tekst bevat alleen neutrale beschrijvingen van het pand en geen expliciete waardering, uitsluiting of 'vanwege'-formulering.",,,Pand met gepleisterde lijstgevel met consoles. | Lichtopeningen in de lijst. | XVIII B.,
514593,relatieve_waardering,inhoudelijk_relevant,True,0.98,"De tekst bevat expliciete waarderingsformules zoals ""Van ... waarde"" en ""van belang"".",,"Van architectuurhistorische waarde als goed en - vooral wat betreft het exterieur - gaaf bewaard gebleven voorbeeld van een jachtopzienerswoning. | Het pand valt op door hoogwaardige esthetische kwaliteiten, zoals het materiaalgebruik en de ornamentiek. | Van landschappelijke waarde door de situering aan de rand van het Kroondomein in de bocht van een weg.",,Van cultuurhistorische waarde vanwege de bestemming en daarmee samenhangende verschijningsvorm. | Tevens van belang vanwege een landelijk historisch gegeven als onderdeel van het Kroondomein.
28791,constatering,contextueel_relevant,False,0.62,"De tekst bevat alleen neutrale beschrijvingen van onderdelen zonder expliciete waardering, uitsluiting of 'vanwege'-formulering.",,,Hoekhuis met gecementeerde lijstgevel. | Omlijste ingang en waterput aan de Breestraat. | Stoep met schuin kelderluik aan de Nederstraat.,
10225,constatering,contextueel_relevant,False,0.62,"De tekst bevat alleen neutrale beschrijvingen zonder waardering, uitsluiting of 'vanwege'-formulering.",,,Behoort tot Veemarktstraat 40. | Gepleisterde lijstgevel.,
18603,constatering,contextueel_relevant,False,0.62,De tekst bevat vooral neutrale bouwkundige beschrijvingen zonder expliciete waarderings- of uitsluitingsformules.,,,"Pand met verdieping en lage tweede verdieping, gedekt door een dwars schilddak met eenvoudige hoekpirons. | Alle vensters met roedenverdeling. | Voor de keldervensters en de stoep balies tussen vier stoeppalen.",
527817,relatieve_waardering,inhoudelijk_relevant,True,0.95,"De tekst bevat expliciete waarderingsformules zoals ""van algemeen belang"" en ""wegens ... waarde"".",,van algemeen belang | wegens architectuur- en cultuurhistorische waarde | wegens ensemblewaarde,,
7992,constatering,contextueel_relevant,False,0.62,"De tekst bevat alleen neutrale, beschrijvende kenmerken zonder waardering, uitsluiting of 'vanwege'-formulering.",,,"Huis met gepleisterde gevel met traptorentje, gesmede muurankers en uitbouw aan de straat. | Rechte kroonlijsten.",
32210,constatering,contextueel_relevant,False,0.62,De tekst bevat alleen een neutrale beschrijving van het object zonder waarderings- of uitsluitingsformuleringen.,,,Classicistisch herenhuis met fronton en gepleisterde gevel.,
5499,relatieve_waardering,inhoudelijk_relevant,True,0.93,De tekst kent expliciet cultuurhistorische waarde en belang toe aan het complex.,,Objecten van bijzondere cultuurhistorische waarde | Daarnaast is het Spaarndammerplantsoen van belang in het oeuvre van De Klerk. | kan worden gesteld dat het Spaarndammerplantsoen bijzondere cultuurhistorische waarde bezit,,niet in het minst vanwege de sociale betekenis van het complex
18421,geen,niet_relevant,False,0.78,"De tekst bevat alleen een korte bouwkundige beschrijving zonder uitsluiting, waardering, constatering van latere onderdelen of een 'vanwege'-motivering.",,,,
23370,relatieve_waardering,inhoudelijk_relevant,True,0.86,"De tekst kent expliciet waardering toe met de formule ""van belang wegens"".",,Tevens van belang wegens de (mogelijke) aanwezigheid van restanten van de middeleeuwse stadsmuur.,,Tevens van belang wegens de (mogelijke) aanwezigheid van restanten van de middeleeuwse stadsmuur.
31521,constatering,contextueel_relevant,False,0.62,De tekst bevat een neutrale constatering over een gewijzigd onderdeel zonder expliciete waardering of uitsluiting.,,,beganegrond gewijzigde schuifvensters,
8342,constatering,contextueel_relevant,False,0.62,De tekst bevat een neutrale beschrijving met datering en een latere wijziging (verhoogd negentiende eeuw) zonder waarderende of uitsluitende formulering.,,,"Huis met gepleisterde lijstgevel met steen: 1629, verhoogd negentiende eeuw.",
7321,constatering,contextueel_relevant,False,0.62,"De tekst bevat een neutrale constatering van een later onderdeel (""XIXd winkelpui"") zonder expliciete waardering of uitsluiting.",,,XIXd winkelpui,
36396,constatering,contextueel_relevant,False,0.62,"De tekst bevat alleen een neutrale beschrijving en datering, zonder waardering, uitsluiting of 'vanwege'-formulering.",,,"Pand met lijstgevel, 2e helft 19e eeuw.",
14791,constatering,contextueel_relevant,False,0.62,"De tekst bevat alleen neutrale beschrijvingen van bouwdelen en datering, zonder waarderings- of uitsluitingsformules.",,,"Huis met lijstgevel, gepleisterd. | Zadeldak met rechts topgevel met vlechtingen (XVII). | Deur (ca.1800) met bovenlicht.",
35069,constatering,contextueel_relevant,False,0.62,"De tekst bevat alleen neutrale beschrijvingen van bouwkundige elementen en een constatering over het interieur, zonder waardering, uitsluiting of 'vanwege'-formulering.",,,Pand onder zadeldak tegen klokgevel. | Omlijste deur. | Tegelwanden in het interieur door board aan het oog onttrokken.,
32593,geen,niet_relevant,False,0.78,"De tekst bevat alleen een architectonische beschrijving zonder expliciete uitsluitingen, waarderingsformules, constateringen van latere onderdelen of 'vanwege'-formuleringen.",,,,
516761,geen,niet_relevant,False,0.98,"De tekst bevat uitsluitend literatuurverwijzingen en geen uitsluitingen, waarderingen, constateringen of 'vanwege'-formuleringen.",,,,
27529,uitsluiting,inhoudelijk_relevant,True,0.78,"De tekst bevat een expliciete uitzonderingsformulering: ""Met uitzondering van de zuidelijke buitengevel"".",Met uitzondering van de zuidelijke buitengevel,,"geheel gepleisterd en ook verder ingrijpend gewijzigd in XIXc. | Zuidvleugel uit mergel met vensters in segmentboogomlijstingen, onder een wolfdak, XVIIIc. | Verder een Lodewijk XV-trap, een Lodewijk XV -schoorsteenmantel en neoclassicistische interieurs.",
12790,constatering,contextueel_relevant,False,0.78,"De tekst bevat alleen neutrale, beschrijvende kenmerken zonder waardering, uitsluiting of 'vanwege'-formulering.",,,Onderkelderd pand | met een in jaartalsteen 1857 gedateerd kleine lijstgevel in schoon metselwerk | Dakkapel.,
450407,relatieve_waardering,inhoudelijk_relevant,True,0.93,"De tekst kent expliciete waardering toe met formuleringen als ""grotendeels gaaf bewaard"" en ""van architectonisch belang"".",,grotendeels gaaf bewaard | Het pand is van architectonisch belang.,De vensters zijn deels 19e eeuws.,
506354,relatieve_waardering,inhoudelijk_relevant,True,0.95,"De tekst bevat expliciete waarderingsformules zoals ""van algemeen belang"" en noemt architectuurhistorische en typologische waarde.",,met goed bewaarde bouwhistorische onderdelen | van algemeen belang | wegens de architectuurhistorische- en typologische waarde,,
16839,constatering,contextueel_relevant,False,0.74,"De tekst bevat een neutrale constatering over een later onderdeel (""latere lijst"") zonder waarderende of uitsluitende formulering.",,,met latere lijst,
36323,constatering,contextueel_relevant,False,0.62,De tekst bevat alleen een neutrale beschrijving en datering zonder waarderende of uitsluitende formuleringen.,,,"Pand met gepleisterde neoclassieke lijstgevel, 2e helft 19e eeuw.",
14149,constatering,contextueel_relevant,False,0.74,"De tekst bevat uitsluitend beschrijvende constateringen van onderdelen en kenmerken, zonder waarderingsformules, uitsluitingen of 'vanwege'-constructies.",,,"Witgepleisterd huis met verdieping en afgeknot schilddak van karakter derde kwart negentiende eeuw. | Achter het huis een stal met hoog pannen zadeldak en bewerkte daklijst. | Aan de straatzijde een smeedijzeren hekwerk uit de bouwtijd, bestaande uit pijlers en hekdelen op een gemetselde rollaag en twee ingangen.",
508415,relatieve_waardering,inhoudelijk_relevant,True,0.93,De tekst bevat expliciete waarderingsformules in de sectie 'Waardering' (o.a. 'van algemeen belang' en 'wegens ... ensemblewaarde').,,van algemeen belang | wegens architectuurhistorische en typologische alsook ensemblewaarde,,
29442,constatering,contextueel_relevant,False,0.78,"De tekst bevat uitsluitend neutrale, beschrijvende constateringen van bouwkundige kenmerken en datering, zonder waarderings- of uitsluitingsformules.",,,"Huis met klokgevel, metselwerk middengedeelte XVII. | Ontlastingsbogen boven de vensters, gebruik van natuurstenen blokken en banden. | Puilijst. Stoep. XVII-XIX.",
519773,uitsluiting,inhoudelijk_relevant,True,0.99,"De tekst bevat een expliciete formulering dat onderdelen (interieurs, behoudens vloeren) buiten de bescherming vallen.",Behoudens deze vloeren vallen de interieurs buiten de bescherming.,"is sociaal-historisch, architectuurhistorisch en stedenbouwkundig van groot algemeen belang | een belangrijke plaats inneemt in de sociaal-maatschappelijke geschiedenis van de volkshuisvesting | kenmerkend voor de Overgangsstijl",In 1980/'83 heeft een algehele renovatie van de wijk plaatsgevonden. | Bij de vernieuwing van de wijk in de jaren-tachtig zijn de meeste schoorstenen verdwenen. | bij de renovatie zijn de meeste vervangen door eenvoudige exemplaren van kunststof.,
518747,relatieve_waardering,inhoudelijk_relevant,True,0.95,"De tekst bevat expliciete waarderingsformules zoals ""van algemeen belang"" en ""hebben ... belang"".",,De woonhuizen zijn van algemeen belang. | Ze hebben cultuurhistorisch belang als bijzondere uitdrukking van de sociaal-economische en stedenbouwkundige ontwikkeling van de industriestad | Ze hebben ensemblewaarden als onderdeel van een samenhangende woonwijk.,,Ze zijn van belang vanwege de architectonische gaafheid.
35321,constatering,contextueel_relevant,False,0.74,De tekst bevat een neutrale constatering over herbouw in modern materiaal (1962) zonder waardering of uitsluiting.,,,herbouwd in modern materiaal 1962,
513337,relatieve_waardering,inhoudelijk_relevant,True,0.96,"De tekst kent expliciet waardering toe met de formule ""van algemeen belang"" en noemt meerdere waarden (architectuur-, cultuurhistorische, typologische en ensemblewaarde).",,van algemeen belang wegens architectuur- en cultuurhistorische en typologische waarde | tevens van belang wegens stedenbouwkundige ensemblewaarde | Zakelijk-Expressionistisch woningblok,,
20771,constatering,contextueel_relevant,False,0.62,"De tekst bevat alleen neutrale beschrijvingen en een datering, zonder waarderings- of uitsluitingsformuleringen.",,,Ondiep hoekpand; | in vensters van de verdieping roeden. | XVIII-XIX.,
13938,relatieve_waardering,inhoudelijk_relevant,True,0.9,"De tekst kent expliciet waardering toe aan het gebouw (monumentaal, harmonische architectuur, oudheidkundige waarde).",,monumentale lijstgevel | Gebouw van eenvoudige doch harmonische architectuur | van oudheidkundige waarde,,
1297,constatering,contextueel_relevant,False,0.62,"De tekst bevat alleen neutrale beschrijvingen van onderdelen en datering, zonder waarderings- of uitsluitingsformules.",,,PAND met gevel (midden XVIII) onder rechte lijst met consoles (XVIIId). | Beschadigde gevelsteen uit de bouwtijd met Hercules ?,
24818,constatering,contextueel_relevant,False,0.62,De tekst bevat alleen een neutrale beschrijving en datering zonder waarderende of uitsluitende formuleringen.,,,"Pand met tuitgevel, begin 18e eeuw.",
29277,constatering,contextueel_relevant,False,0.62,De tekst bevat alleen neutrale bouwkundige beschrijvingen zonder waarderings- of uitsluitingsformules.,,,"Huis met rechte gevel, kroonlijst met datering 1754 in cartouches en gesneden consoles. | Hardstenen plint. | Eenvoudige voordeuromlijsting.",
8230,constatering,contextueel_relevant,False,0.74,"De tekst bevat alleen neutrale bouwkundige beschrijvingen zonder waardering, uitsluiting of 'vanwege'-formulering.",,,"Onderkelderd pand met verdieping onder zadeldak, aan de voorzijde van schild voorzien | de voorgevel afgesloten door forse kroonlijst | Omlijste ingang met lage stoep.",
6997,constatering,contextueel_relevant,False,0.62,De tekst bevat alleen een neutrale beschrijving en datering zonder waarderende of uitsluitende formuleringen.,,,"Pand met lage topgevel, 18 eeuw.",
14882,constatering,contextueel_relevant,False,0.74,"De tekst bevat een neutrale constatering over een wijziging (""gewijzigde kap"") zonder expliciete waardering of uitsluiting.",,,met gewijzigde kap | waarin dakkapel met vleugelstukken,
836,relatieve_waardering,inhoudelijk_relevant,True,0.72,"De tekst kent een waarderende kwalificatie toe aan een onderdeel (""Goede roedenverdeling"").",,Goede roedenverdeling op de verdiepingen.,,
530916,relatieve_waardering,inhoudelijk_relevant,True,0.99,"De tekst bevat expliciete waarderingsformules zoals ""van algemeen belang"" en meerdere ""wegens ... waarde""-passages.",,Het woonblok is van algemeen belang | als evidente mijlpaal in de ontwikkeling van de midden twintigste-eeuwse architectuur en stedenbouw in Nederland; | wegens de ensemblewaarde als onderdeel van een complex met vier identieke woonblokken;,"Thans is de indeling van veel woningen aangepast aan nieuwe woonwensen. | maar bij vernieuwing van de vensters vervangen door gekleurde folie in dezelfde kleuren echter met een andere kleurintensiteit en rangschikking. | De andere gevel is voorzien van een geel geschilderd uitwendig isolatiemateriaal, gevat in de wit geschilderde omlijsting.","wegens de ensemblewaarde als onderdeel van een complex met vier identieke woonblokken; | wegens de stedenbouwkundige waarde als onderdeel van de uitbreidingsplannen Zuider Amstelkanaal I, gesitueerd in een ruime groenaanleg; | wegens de bijzondere kunsttoepassing door het gebruikmaken van gekleurde platen onder de vensters en de integratie van kunst en architectuur in het exterieur."
41800,relatieve_waardering,inhoudelijk_relevant,True,0.78,"De tekst kent expliciet betekenis toe met de waarderende term ""belangrijke resten"".",,inwendig belangrijke resten van het oorspronkelijke houtskelet,,
521281,relatieve_waardering,inhoudelijk_relevant,True,0.99,"De tekst bevat expliciete waarderingsformules zoals ""van algemeen belang"" en ""hebben cultuurhistorische waarde"".",,zijn van algemeen belang | hebben cultuurhistorische waarde | bezitten ensemblewaarde,In het merendeel van de woonhuizen is het interieur in de loop der tijd veranderd.,vanwege het bijzondere materiaalgebruik | van belang wegens gaafheid van het exterieur en vanwege typologische zeldzaamheid
35496,constatering,contextueel_relevant,False,0.74,De tekst bevat een neutrale constatering over een later onderdeel ('latere ingang') zonder expliciete waardering of uitsluiting.,,,die voorzien zijn van een latere ingang en vensters in hardstenen omlijstingen.,
18907,relatieve_waardering,inhoudelijk_relevant,True,0.93,"De tekst kent expliciet waarde toe met de formulering ""van oudheidkundige waarde"".",,"Bescheiden architectuur, doch van oudheidkundige waarde.",,
359760,relatieve_waardering,inhoudelijk_relevant,True,0.78,"De tekst kent expliciet betekenis toe met de formulering ""als zodanig van belang"".",,deel uitmakend van het complex met monumentnummer 359693 en als zodanig van belang,,
33327,constatering,contextueel_relevant,False,0.62,"De tekst bevat alleen een neutrale bouwkundige beschrijving zonder waardering, uitsluiting of 'vanwege'-formulering.",,,"Pand onder zadeldak, voorzijde afgewolfd, houten goot op blokjes.",
22776,constatering,contextueel_relevant,False,0.74,"De tekst bevat uitsluitend neutrale bouwkundige beschrijvingen zonder waardering, uitsluiting of 'vanwege'-formulering.",,,"Zeer breed dwarspand, voorzien van een gepleisterde lijstgevel met hardstenen cordonlijst, voordeuromlijsting met vensterdorpels. | Een attiekverdieping voorzien van in de lijst uitgespaarde lichten.",
27596,constatering,contextueel_relevant,False,0.62,De tekst bevat alleen neutrale beschrijvingen van bouwdelen en elementen zonder expliciete waarderings- of uitsluitingsformules.,,,"Huis met lijstgevel, XVIII. | Inwendig een balustertrap. | In kelder resten van Romeins muurwerk.",
13972,relatieve_waardering,inhoudelijk_relevant,True,0.93,De tekst kent expliciet waardering toe door het gebouw als harmonisch te typeren en 'van oudheidkundige waarde' te noemen.,,Gebouw van eenvoudige doch harmonische architectuur | en van oudheidkundige waarde.,,
516789,geen,niet_relevant,False,0.99,"De tekst bevat uitsluitend literatuurverwijzingen en geen uitsluitingen, waarderingen, constateringen of 'vanwege'-formuleringen over het monument.",,,,
19361,constatering,contextueel_relevant,False,0.62,"De tekst bevat alleen een neutrale beschrijving en datering, zonder expliciete waardering, uitsluiting of 'vanwege'-formulering.",,,"Gepleisterd statig herenhuis, 2e helft 19e eeuw.",
5063,constatering,contextueel_relevant,False,0.62,"De tekst bevat alleen een neutrale beschrijving van het pand en noemt geen waardering, uitsluiting of 'vanwege'-formulering.",,,Pand met eenvoudige klokgevel (XVIIIc?).,
8612,constatering,contextueel_relevant,False,0.74,De tekst bevat uitsluitend neutrale bouwkundige en dateringbeschrijvingen zonder expliciete waarderings- of uitsluitingsformules.,,,"Deftig HUIS van laat 18e eeuws voorkomen, doch blijkens klesoortjes in de linkerhoek van 17e eeuwse oorsprong. | Het pand heeft een verdieping en een hoog, dwars schilddak met hoekschoorstenen. | Eenvoudige deuromlijsting met pilasters; omlopende kroonlijst.",
521692,geen,niet_relevant,False,0.62,"De tekst bevat alleen het woord ""Redelijk."" en geen expliciete uitsluiting, waardering, constatering of vanwege-formulering.",,,,
450443,relatieve_waardering,inhoudelijk_relevant,True,0.86,"De tekst kent expliciete waardering toe met termen als ""fraai"", ""gaaf bewaard"" en ""van belang"".",,"Het is vrij gaaf bewaard, uitgezonderd de onderpui van de achtergevel. | Fraai is vooral de voorgevel | Vooral de 17e eeuwse achtergevel is van belang.",,
