rijksmonumentnummer,hoofdcategorie,adres,woonplaatsnaam,ai_heeft_uitsluiting,ai_heeft_relatieve_waardering,ai_heeft_constatering,ai_heeft_bescherming_vanwege,ai_fragment_uitsluiting,ai_fragment_relatieve_waardering,ai_fragment_constatering,ai_fragment_bescherming_vanwege,omschrijving
526724,Woningen en woningbouwcomplexen,Zaandammerplein 33,Amsterdam,False,False,True,True,,,"Het zuidoostelijk WOONBLOK D, door K.P.C. de Bazel in 1918-1923 ontworpen in de trant van het Rationalisme, is een onderdeel van het gemeentelijk woningbouwcomplex rondom het Zaandammerplein. | Het woonblok heeft een grondplan in de vorm van een vraagteken, de korte zijde aan de Houtrijkstraat, de lange zijde aan het Zaandammerplein. | De achtergevels worden gekenmerkt door muurdammen met aan weerszijden een klein balkon en twee dubbele ramen.","Het zuidoostelijk woonblok (D) is van algemeen belang vanwege de stedenbouwkundige, sociaalhistorische en architectuurhistorische waarde als kenmerkend onderdeel van grootstedelijke arbeiderswoningbouw uit de jaren twintig van de twintigste eeuw, waarbij de straatwand, hof en hoekoplossingen een integraal onderdeel vormen van het stedenbouwkundig ontwerp, alsmede vanwege de typologische waarde en vanwege de ensemblewaarde. | Het woonblok is van belang als onderdeel van het oeuvre van K.P.C. de Bazel en als kenmerkend onderdeel van het gemeentelijk 3500-woningenplan van de gemeente Amsterdam.","Inleiding Het zuidoostelijk WOONBLOK D, door K.P.C. de Bazel in 1918-1923 ontworpen in de trant van het Rationalisme, is een onderdeel van het gemeentelijk woningbouwcomplex rondom het Zaandammerplein. Het woonblok(deel) maakt deel uit van een groter bouwblok, waarvan de 78 door De Bazel ontworpen woningen aan het Zaandammerplein, de Houtrijktraat en, voor een klein gedeelte, aan de Hembrugstraat liggen. Het wooblok(deel) grenst aan het Zaandammerplein aan een schoolgebouw en in de Hembrugstraat aan een andere architectuureenheid. Omschrijving Het woonblok heeft een grondplan in de vorm van een vraagteken, de korte zijde aan de Houtrijkstraat, de lange zijde aan het Zaandammerplein. De geknikte gevel aan het Zaandammerplein heeft twee trappenhuizen volgens het standaard schema (met ronde en drieledige vensters) met puntige topgevels en twee trappenhuizen zonder topgevels, één daarvan in de knik van de gevelwand. De eveneens geknikte gevelwand van de Houtrijkstraat heeft vijf trappenhuizen volgens schema met ronde en drieledige vensters. Voor de knik drie met de puntige topgevels boven de drieledige vensters. Het derde trappenhuis bevindt zich naast een travee met een poort naar het binnenterrein en heeft geen topgevel. In het gedeelte na de knik bevinden zich twee trappenhuizen met de topgevel in het midden. De hoeken hebben bovendien twee respectievelijk drie vensterassen en in afwijking van het schema ontbreekt één as met ronde vensters. De afgeschuinde hoek met het Zaandammerplein is volgens schema (met één trappenhuis). De korte gevelwand in de Hembrugstraat heeft twee trappenhuizen volgens schema, met octogonale ronde vensters, zonder puntige topgevel. Ter linker zijde van het linker trappenhuis bevinden de drieledige vensters zich in een driezijdig afgeschuinde erker over vier bouwlagen, tevens de beëindiging van de architectuureenheid. Het trappenhuis rechts bevindt zich in een hoekrisaliet. De afgeschuinde hoek met de Houtrijkstraat heeft ongedeelde vensters onder een zware latei. De achtergevels worden gekenmerkt door muurdammen met aan weerszijden een klein balkon en twee dubbele ramen. Afwisselend bevinden de kleine balkons zich in verdiepte assen. Op de begane grond, geaccentueerd door een rollaag, bevinden zich de bergingen, dan wel de tuindeuren op de privétuinen. Waardering Het zuidoostelijk woonblok (D) is van algemeen belang vanwege de stedenbouwkundige, sociaalhistorische en architectuurhistorische waarde als kenmerkend onderdeel van grootstedelijke arbeiderswoningbouw uit de jaren twintig van de twintigste eeuw, waarbij de straatwand, hof en hoekoplossingen een integraal onderdeel vormen van het stedenbouwkundig ontwerp, alsmede vanwege de typologische waarde en vanwege de ensemblewaarde. Het woonblok is van belang als onderdeel van het oeuvre van K.P.C. de Bazel en als kenmerkend onderdeel van het gemeentelijk 3500-woningenplan van de gemeente Amsterdam."
9128,Woningen en woningbouwcomplexen,Grote Markt 33,Bergen op Zoom,False,False,True,False,,,"Huis met eenvoudige witgeverfde lijstgevel, lage bovenverdieping en schilddak.",,"Huis met eenvoudige witgeverfde lijstgevel, lage bovenverdieping en schilddak."
508392,Woningen en woningbouwcomplexen,Purmerplein 33,Amsterdam,False,False,True,True,,,"Noordoostelijk aan het Purmerplein gesitueerde reeks winkelwoningen naar ontwerp van B.T. Boeyinga uit 1923-1927 in verstrakte Amsterdamse School, deel uitmakend van het Tuindorp Nieuwendam. | Vrijstaand bouwblok met zeven winkelwoonhuizen. | Gebouwd op een samengesteld grondplan met op de begane grond winkels en magazijnen en op de verdieping en kapverdieping bovenwoningen en grotendeels opgetrokken in baksteen. | Het bouwblok heeft een zadeldak gedekt met rode Hollandse pannen en vorsten. | De voorgevel, grenzend aan het Purmerplein bevat verschillende winkelpuien; boven een lage plint zijn grote winkelruiten tussen houten posten.","Waardering Reeks winkelwoningen aan het Purmerplein, deel uitmakend van Tuindorp Nieuwendam en als zodanig van algemeen belang wegens architectuur- en bouwhistorische alsook typologische en ensemblewaarde.","Inleiding Noordoostelijk aan het Purmerplein gesitueerde reeks winkelwoningen naar ontwerp van B.T. Boeyinga uit 1923-1927 in verstrakte Amsterdamse School, deel uitmakend van het Tuindorp Nieuwendam. Omschrijving Vrijstaand bouwblok met zeven winkelwoonhuizen. Purmerplein 21 heeft een winkelplattegrond van het type C; Purmerplein 23-31 heeft een winkelplattegrond van het type B; Purmerplein 33 heeft een winkelplattegrond van het type F. Gebouwd op een samengesteld grondplan met op de begane grond winkels en magazijnen en op de verdieping en kapverdieping bovenwoningen en grotendeels opgetrokken in baksteen. Een knik in de gevel aan de linkerzijde en een wegdraaiende gevel aan de rechterzijde accentueren de ruimtelijke functie van het bouwblok. Aan de zijde van het naburige korte bouwblok accentueert een erker de poortfunctie. Het bouwblok heeft een zadeldak gedekt met rode Hollandse pannen en vorsten. Aan de voorzijde wordt het dakschild onderbroken door een aaneengesloten reeks houten dakkapellen met horizontaal beschot en eenvoudige lijst en plat dak. Op de nok gemetselde schoorstenen met uitkraging en opgezette kappen van de rookkanalen. Aan de rechterzijde eindigt het zadeldak in een halfronde afsluiting opgebouwd uit drie dakschilden in de vorm van gelijkbenige driehoeken. In elk dakschild een driezijdige kleine dakkapel. Vorsten op nok en kepers. De voorgevel, grenzend aan het Purmerplein bevat verschillende winkelpuien; boven een lage plint zijn grote winkelruiten tussen houten posten. De toegangen zijn teruggezet en bereikbaar middels eenvoudige stoep bestaande uit iets verhoogd liggende plaat. In portiek ook de waterafvoerpijp van de brede luifel, die geheel doorlopend extra beschutting biedt aan het winkelende publiek. Over de gehele breedte een doorlopende vensterstrook met horizontaal beschot. De linkerzijde is een driezijdig afgesloten over verdieping en kapverdieping. Op de hoeken de staande tandlijsten van kopse einden van in elkaar grijpende bakstenen. Op de verdieping aan elke zijde een venster. Op de derde bouwlaag zijn de vensters verdiept geplaatst. Schuine overgang naar gevelvlak. Verder enkele baksteenaccenten. Eenvoudige brede gootlijst sluit de gevel af. De zijgevel aan de linkerzijde toont aan de bovenzijde de verlengde aanzet van de schoorsteen als decoratief element samengaand met een horizontaal bakstenen accent. Onder het stenen waterbord haaks vermetselde bakstenen. Balcon aan de achterzijde. Cordonlijst boven winkelpui loopt door over zijgevel. Verder een enkel venster. De zijgevel aan de rechterzijde bestaat uit drie vlakken. Waardering Reeks winkelwoningen aan het Purmerplein, deel uitmakend van Tuindorp Nieuwendam en als zodanig van algemeen belang wegens architectuur- en bouwhistorische alsook typologische en ensemblewaarde."
14667,Woningen en woningbouwcomplexen,Beekstraat 33,Elburg,False,True,True,False,,hoog monumentaal dak | mooi gesneden deur,"Gevelsteen ""'t Olde Regthuys"", 1598. | Verder uiterlijk XIX a. | Schuiframen en mooi gesneden deur (ca. 1800).",,"Hoekpand Jufferstraat met hoog monumentaal dak. Gevelsteen ""'t Olde Regthuys"", 1598. Verder uiterlijk XIX a. Schuiframen en mooi gesneden deur (ca. 1800)."
515,Woningen en woningbouwcomplexen,Bloemgracht 33,Amsterdam,False,False,True,False,,,Pand met gevel onder rechte lijst (midden XIX).,,Pand met gevel onder rechte lijst (midden XIX).
40274,Woningen en woningbouwcomplexen,Waterstraat 33,Zaltbommel,False,False,True,False,,,"Pand uit de 16e of 17e eeuw, waarvan het schilddak aan de achterzijde tegen een puntgevel aansluit. | Gepleisterde voorgevel met lage bovenverdieping en houten kroonlijst, eerste helft 19e eeuw.",,"Pand uit de 16e of 17e eeuw, waarvan het schilddak aan de achterzijde tegen een puntgevel aansluit. Gepleisterde voorgevel met lage bovenverdieping en houten kroonlijst, eerste helft 19e eeuw."
11978,Woningen en woningbouwcomplexen,Oude Delft 33,Delft,False,False,True,False,,,Pand met gepleisterde lijstgevel. | Geprofileerde vensteromlijstingen (derde kwart negentiende eeuw).,,Pand met gepleisterde lijstgevel. Geprofileerde vensteromlijstingen (derde kwart negentiende eeuw).
11775,Woningen en woningbouwcomplexen,Hippolytusbuurt 33,Delft,False,False,True,False,,,Pand met lagere bovenverdieping en eenvoudige lijstgevel (XIXb).,,Pand met lagere bovenverdieping en eenvoudige lijstgevel (XIXb).
14748,Woningen en woningbouwcomplexen,Havenkade 33,Elburg,False,False,True,False,,,Huisje van begane grond (XVIII?) met zadeldak tussen puntgevels. | Vensters met schuiframen en luiken.,,Huisje van begane grond (XVIII?) met zadeldak tussen puntgevels. Vensters met schuiframen en luiken.
23520,Woningen en woningbouwcomplexen,Kerkstraat 33,Katwijk,False,False,True,False,,,"Lage woning met rechte kroonlijst, 18e eeuw.",,"Lage woning met rechte kroonlijst, 18e eeuw."
25483,Woningen en woningbouwcomplexen,Rapenburg 33,Leiden,False,False,True,False,,,"Pand met statige brede geheel met zandsteen beklede gevel, afgedekt door rechte houten kroonlijst met consoles. | 1e helft 18e eeuw. | Hardstenen stoep met gesmeed ijzer hekwerk.",,"Pand met statige brede geheel met zandsteen beklede gevel, afgedekt door rechte houten kroonlijst met consoles. 1e helft 18e eeuw. Hardstenen stoep met gesmeed ijzer hekwerk."
484495,Woningen en woningbouwcomplexen,Willemstraat 33,Groningen,True,True,True,True,De achtergevels zijn deswege van ondergeschikt belang.,"in een sobere, maar zeer karakteristieke ambachtelijk-traditionele bouwtrant. | een relatief smal deurkozijn",De woningen zijn nog steeds bewoond; de vroegere winkel op de oostelijke hoek van de westelijke bouwstrook (nr. 37) is thans in gebruik als woning. | In 1919 zijn de woningen overgenomen door de Groninger rijwielfabriek Fongers die tegenover de Willemstraat aan de Hereweg een nieuwe fabriek had gebouwd. | Bij sommige woningen zijn de goten en pannen vernieuwd. | De indeling van de meeste achtergevels is gewijzigd in de vorm van nieuwe puien of vernieuwde aanbouwen; ook zijn in de meeste achterdakvlakken nieuwe dakkapellen aangebracht.,"als geheel van algemeen belang vanwege zijn cultuuurhistorische en architectuurhistorische waarde, vanwege de ouderdom en gaafheid van de woningen in samenhang met het karakteristieke straatprofiel met oude bomen en vanwege zijn betekenis voor de sociaal-economische geschiedenis van Groningen en voor de ontwikkeling van de volkshuisvesting in de negentiende eeuw in het bijzonder.","Inleiding WONINGCOMPLEX, bestaande uit 40 zelfstandige arbeiderswoningen en één winkel, deel uitmakend van de eerste planmatig opgezette bebouwingen buiten de zuidelijke vestingwerken van Groningen en gebouwd in circa 1870 in opdracht van 'De Bouwvereniging' in twee, aan elkaar aansluitende bouwstroken aan de zuidzijde van de Willemstraat met enkele percelen aan de Sterrebosstraat in een sobere, maar zeer karakteristieke ambachtelijk-traditionele bouwtrant. De woningen zijn nog steeds bewoond; de vroegere winkel op de oostelijke hoek van de westelijke bouwstrook (nr. 37) is thans in gebruik als woning. In 1919 zijn de woningen overgenomen door de Groninger rijwielfabriek Fongers die tegenover de Willemstraat aan de Hereweg een nieuwe fabriek had gebouwd. Bij sommige woningen zijn de goten en pannen vernieuwd. De indeling van de meeste achtergevels is gewijzigd in de vorm van nieuwe puien of vernieuwde aanbouwen; ook zijn in de meeste achterdakvlakken nieuwe dakkapellen aangebracht. De achtergevels zijn deswege van ondergeschikt belang. Omschrijving De woningen op rechthoekige plattegronden zijn opgetrokken uit rode Groninger baksteen en hebben een gepleisterde plint. Alle hebben een achtererf. De woningen van de oostelijke bouwstrook zijn voorzien van aan elkaar gespiegelde uitbouwtjes. Er zijn typen woningen van drie en vier traveeën breed. Alle woningen tellen één bouwlaag onder een omlopend schilddak, belegd met een zwarte oude Hollandse pan. De gevels worden afgesloten door een korfboogvormige, gestucte lijst met rozetachtige versieringen tussen de vensteropeningen en een geprofileerde houten bakgoot. Paren van spiegelbeeldig aan elkaar gesitueerde woningen worden in de gevel gescheiden door iets risalerende muurdammen en regenpijpen. De scheiding wordt benadrukt door op de daknok geplaatste schoorsteenkoppen. De vroegere winkelpui is witgepleisterd en omlijst door pilasters en een architraaf. De rechthoekige etalagevensters hebben nog de oorspronkelijke bovenlichten met roedeverdeling. De overige winkelgevels zijn van baksteen en ingedeeld volgens de traveemaat van het complex: aan de zijde van de Sterrebosstraat twee blindnissen met rollagen. Elke woning heeft in de voorgevel een relatief smal deurkozijn met kalf, houten paneeldeur en bovenlicht en 6-ruits (schuif)vensters met afgeronde hoeken en rollagen. De woningen nrs. 1 en 3 hebben een oorspronkelijke dubbele gemetselde kajuit met een aardige, bewerkte houten daklijst en twee 6-ruits vensters. Nr. 5 heeft een gemetselde kajuit uit 1901 met muurdammen op de hoeken en een ajour bewerkte houten daklijst. Waardering Woningcomplex, bestaande uit 40 arbeiderswoningen en één winkel, deel uitmakend van de eerste planmatig opgezette bebouwingen buiten de zuidelijke vestingwerken van Groningen aan de zuidzijde van de Willemstraat met enkele percelen aan de Sterrebosstraat, als geheel van algemeen belang vanwege zijn cultuuurhistorische en architectuurhistorische waarde, vanwege de ouderdom en gaafheid van de woningen in samenhang met het karakteristieke straatprofiel met oude bomen en vanwege zijn betekenis voor de sociaal-economische geschiedenis van Groningen en voor de ontwikkeling van de volkshuisvesting in de negentiende eeuw in het bijzonder."
516757,Woningen en woningbouwcomplexen,Pontanuslaan 33,Arnhem,False,False,False,False,,,,,"J.Th.W. Willemsen, De volkshuisvesting in Arnhem 1829-1925, Arnhem [1968] W. Lavooij, Gebouwd in Arnhem, Zutphen 1990, p.101 M. Beks, e.a., De bult op. 75 Jaar Woningbouwvereniging voor Ambtenaren te Arnhem, Arnhem z.j."
11563,Woningen en woningbouwcomplexen,Markt 33,Culemborg,False,False,True,False,,,"Laat-middeleeuws pand met verdieping en hoog zadeldak, aan de achterzijde afgesloten door een trapgevel. | De zuidergevel heeft een bakstenen tandfries en een dakkapel met gemetselde wanden en een kozijn met middenstijl.",,"Laat-middeleeuws pand met verdieping en hoog zadeldak, aan de achterzijde afgesloten door een trapgevel. De zuidergevel heeft een bakstenen tandfries en een dakkapel met gemetselde wanden en een kozijn met middenstijl."
